name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,state,adj_latitude,adj_longitude,avg_air_temperature,avg_alpha,avg_aod,avg_asymmetry,avg_cld_opd_dcomp,avg_cld_reff_dcomp,avg_clearsky_dhi,avg_clearsky_dni,avg_clearsky_ghi,avg_cloud_press_acha,avg_cloud_type,avg_dew_point,avg_dhi,avg_dni,avg_ghi,avg_ozone,avg_relative_humidity,avg_solar_zenith_angle,avg_ssa,avg_surface_albedo,avg_surface_pressure,avg_total_precipitable_water,avg_wind_direction,avg_wind_speed,std_air_temperature,std_alpha,std_aod,std_asymmetry,std_cld_opd_dcomp,std_cld_reff_dcomp,std_clearsky_dhi,std_clearsky_dni,std_clearsky_ghi,std_cloud_press_acha,std_cloud_type,std_dew_point,std_dhi,std_dni,std_ghi,std_ozone,std_relative_humidity,std_solar_zenith_angle,std_ssa,std_surface_albedo,std_surface_pressure,std_total_precipitable_water,std_wind_direction,std_wind_speed,wind_u5,wind_5_10,wind_10_15,wind_15_20,wind_20_25,wind_o25,temp_u0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_o40,wind_power_density
Sunray 2,USA0010437,20,34.8634,-116.8276,Solar,,,,2017,Sunray Energy 2  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,11.982,11.04,15.204,,33.317,59.838,58.923,,,,,32.59,California,34.85,-116.82,18.5508675799087,1.13057534246575,0.092025114155251,0.628530821917808,1.15652283105023,1.74101940639269,43.2100456621005,373.602054794521,261.236301369863,56.3211187214612,1.4222602739726,0.273744292237443,51.7401826484018,322.559246575342,242.85296803653,0.297611187214612,40.0326917808219,89.7424063926941,0.918092465753425,0.212547945205479,939.317808219178,1.32350456621005,205.929908675799,2.97426940639269,10.2175611730457,0.294129180662375,0.054714457902147,0.009468716082762,6.59612004818878,7.30861686966615,51.1416998224395,407.263417437649,337.687829833073,171.011247491536,2.60844823546446,6.56157036196205,72.3194860720129,390.593045944333,326.626195067046,0.030942599870056,25.0620398064716,38.6772892833731,0.022019151851467,0.006930261407413,4.75403243781962,0.859967771100027,98.0333002806628,1.79855663605078,0.859360730593607,0.139383561643836,0.001255707762557,0,0,0,0.000228310502283,0.223173515981735,0.337214611872146,0.272945205479452,0.147488584474886,0.018949771689498,33.7879367552849
Sunray 3,USA0010438,13.8,34.8634,-116.8276,Solar,,,,2017,Sunray Energy 3 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,36.424,9.191,,,20.615,37.303,39.125,,,,,22.48,California,34.85,-116.82,18.5508675799087,1.13057534246575,0.092025114155251,0.628530821917808,1.15652283105023,1.74101940639269,43.2100456621005,373.602054794521,261.236301369863,56.3211187214612,1.4222602739726,0.273744292237443,51.7401826484018,322.559246575342,242.85296803653,0.297611187214612,40.0326917808219,89.7424063926941,0.918092465753425,0.212547945205479,939.317808219178,1.32350456621005,205.929908675799,2.97426940639269,10.2175611730457,0.294129180662375,0.054714457902147,0.009468716082762,6.59612004818878,7.30861686966615,51.1416998224395,407.263417437649,337.687829833073,171.011247491536,2.60844823546446,6.56157036196205,72.3194860720129,390.593045944333,326.626195067046,0.030942599870056,25.0620398064716,38.6772892833731,0.022019151851467,0.006930261407413,4.75403243781962,0.859967771100027,98.0333002806628,1.79855663605078,0.859360730593607,0.139383561643836,0.001255707762557,0,0,0,0.000228310502283,0.223173515981735,0.337214611872146,0.272945205479452,0.147488584474886,0.018949771689498,33.7879367552849
SEGS III,USA0010439,34.2,35.0069,-117.5558,Solar,Gas,,,1987,FPL Energy Operating Services Inc - SEGS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18000,2019,62.178,58.83,58.981,55.882,44.783,0,38.242,72.38,73.2,69.89,74.07,77.51,California,35.01,-117.54,16.4778538812785,1.1437100456621,0.08139897260274,0.630579908675799,0.97340296803653,2.12240753424658,40.8816210045662,384.079109589041,264.013812785388,61.0277397260274,1.47716894977169,0.3587899543379,48.9705479452055,338.204908675799,248.741552511416,0.300122831050228,42.9275251141553,89.7035913242009,0.915200913242009,0.256493150684931,916.067351598174,1.21259132420091,194.527625570776,2.89647260273973,10.0936465823927,0.286046748645217,0.047524597705528,0.009093966989609,5.89929683196136,8.84816258126564,47.6953783323638,415.943422920041,340.969642278203,182.282854571378,2.70107863178933,6.09602875422346,68.0434393226825,400.21991089445,332.084810795465,0.032476559572491,26.4740765007772,38.5987389199696,0.022701272248997,0.012768886937977,5.39342850774529,0.681264367863287,95.6904107854068,1.69728499971394,0.865753424657534,0.134246575342466,0,0,0,0,0.004452054794521,0.291780821917808,0.332420091324201,0.2412100456621,0.124885844748858,0.005251141552511,28.8598088917982
SEGS IV,USA0010440,34.2,35.0122,-117.5557,Solar,Gas,,,1987,FPL Energy Operating Services Inc - SEGS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18000,2019,63.299,58.369,59.247,55.331,43.752,0,41.865,72.38,73.2,69.89,74.07,77.51,California,35.01,-117.54,16.4778538812785,1.1437100456621,0.08139897260274,0.630579908675799,0.97340296803653,2.12240753424658,40.8816210045662,384.079109589041,264.013812785388,61.0277397260274,1.47716894977169,0.3587899543379,48.9705479452055,338.204908675799,248.741552511416,0.300122831050228,42.9275251141553,89.7035913242009,0.915200913242009,0.256493150684931,916.067351598174,1.21259132420091,194.527625570776,2.89647260273973,10.0936465823927,0.286046748645217,0.047524597705528,0.009093966989609,5.89929683196136,8.84816258126564,47.6953783323638,415.943422920041,340.969642278203,182.282854571378,2.70107863178933,6.09602875422346,68.0434393226825,400.21991089445,332.084810795465,0.032476559572491,26.4740765007772,38.5987389199696,0.022701272248997,0.012768886937977,5.39342850774529,0.681264367863287,95.6904107854068,1.69728499971394,0.865753424657534,0.134246575342466,0,0,0,0,0.004452054794521,0.291780821917808,0.332420091324201,0.2412100456621,0.124885844748858,0.005251141552511,28.8598088917982
SEGS V,USA0010441,34.2,35.0195,-117.5555,Solar,Gas,,,1987,FPL Energy Operating Services Inc - SEGS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18000,2019,62.533,60.197,58.634,55.842,51.642,0,41.424,72.38,73.2,69.89,74.07,77.51,California,35.01,-117.54,16.4778538812785,1.1437100456621,0.08139897260274,0.630579908675799,0.97340296803653,2.12240753424658,40.8816210045662,384.079109589041,264.013812785388,61.0277397260274,1.47716894977169,0.3587899543379,48.9705479452055,338.204908675799,248.741552511416,0.300122831050228,42.9275251141553,89.7035913242009,0.915200913242009,0.256493150684931,916.067351598174,1.21259132420091,194.527625570776,2.89647260273973,10.0936465823927,0.286046748645217,0.047524597705528,0.009093966989609,5.89929683196136,8.84816258126564,47.6953783323638,415.943422920041,340.969642278203,182.282854571378,2.70107863178933,6.09602875422346,68.0434393226825,400.21991089445,332.084810795465,0.032476559572491,26.4740765007772,38.5987389199696,0.022701272248997,0.012768886937977,5.39342850774529,0.681264367863287,95.6904107854068,1.69728499971394,0.865753424657534,0.134246575342466,0,0,0,0,0.004452054794521,0.291780821917808,0.332420091324201,0.2412100456621,0.124885844748858,0.005251141552511,28.8598088917982
SEGS VI,USA0010442,35,35.021,-117.5661,Solar,Gas,,,1989,FPL Energy Operating Services Inc - SEGS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18000,2019,58.667,55.827,54.713,50.7,45.893,43.423,0,84.21,74.91,71.52,75.81,79.91,California,35.01,-117.58,16.3375228310502,1.1695296803653,0.076150079908676,0.630579908675799,1.17691894977169,2.01072716894977,40.1382420091324,387.260844748858,264.697831050228,51.0603881278539,1.45639269406393,0.332180365296804,48.1691780821918,338.236643835616,247.766438356164,0.298158447488584,42.9884783105023,89.6915856164384,0.915195205479452,0.264712328767123,915.047374429224,1.21243150684932,196.028196347032,2.91534246575342,10.1107306363398,0.272264028424378,0.041649957297889,0.009093966989609,6.79237367255263,8.18670018623266,46.3793958013721,417.826998643737,341.536697380232,156.723678197048,2.68279955855113,6.30312072408942,67.5368876698364,402.512673789707,331.95234125471,0.030925496114347,26.4633024015758,38.5985009768132,0.02252159338931,0.013738735811571,5.41026147052409,0.696704261147059,94.4516244687373,1.70860025665897,0.863812785388128,0.136187214611872,0,0,0,0,0.00513698630137,0.298173515981735,0.331050228310502,0.23824200913242,0.123173515981735,0.004223744292237,29.4272657882343
SEGS VII,USA0010443,35,35.0148,-117.5659,Solar,Gas,,,1989,FPL Energy Operating Services Inc - SEGS,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,18000,2019,54.473,52.488,47.456,41.926,43.65,39.662,0,85.18,74.91,71.52,75.81,79.91,California,35.01,-117.58,16.3375228310502,1.1695296803653,0.076150079908676,0.630579908675799,1.17691894977169,2.01072716894977,40.1382420091324,387.260844748858,264.697831050228,51.0603881278539,1.45639269406393,0.332180365296804,48.1691780821918,338.236643835616,247.766438356164,0.298158447488584,42.9884783105023,89.6915856164384,0.915195205479452,0.264712328767123,915.047374429224,1.21243150684932,196.028196347032,2.91534246575342,10.1107306363398,0.272264028424378,0.041649957297889,0.009093966989609,6.79237367255263,8.18670018623266,46.3793958013721,417.826998643737,341.536697380232,156.723678197048,2.68279955855113,6.30312072408942,67.5368876698364,402.512673789707,331.95234125471,0.030925496114347,26.4633024015758,38.5985009768132,0.02252159338931,0.013738735811571,5.41026147052409,0.696704261147059,94.4516244687373,1.70860025665897,0.863812785388128,0.136187214611872,0,0,0,0,0.00513698630137,0.298173515981735,0.331050228310502,0.23824200913242,0.123173515981735,0.004223744292237,29.4272657882343
SEGS VIII,USA0010444,92,35.0308,-117.3563,Solar,Gas,,,1990,Terra-Gen Operating Co-Solar,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,158.026,159.038,157.195,156.267,143.752,148.275,137.478,236.24,195.59,191.77,197.93,208.73,California,35.05,-117.34,17.4963470319635,1.16604566210046,0.084625319634703,0.629003424657534,0.947178082191781,2.60832191780822,42.021803652968,379.375,262.538584474886,54.2820776255708,1.48116438356164,0.084474885844749,49.0107305936073,336.678538812785,248.478310502283,0.299502168949772,41.5206952054795,89.7321130136986,0.915252283105023,0.276547945205479,932.299086757991,1.28835616438356,200.284246575342,2.96728310502283,10.2728633698518,0.257790980633137,0.04803593796404,0.009019258297398,5.98496896001182,10.8064895020333,49.031984290918,411.706414594092,339.279911808672,165.136294886479,2.66614347300368,6.18635160538442,66.9894312792637,397.880618836044,331.553115967333,0.031323135348829,25.4353955222413,38.5750753775903,0.022999013415256,0.016867770269363,4.68769389485211,0.723563947684613,93.6865390849234,1.72293431800048,0.859703196347032,0.140296803652968,0,0,0,0,0.003424657534247,0.260616438356164,0.328995433789954,0.256963470319635,0.137899543378995,0.012100456621005,31.1128150583867
SEGS IX,USA0010446,92,35.033,-117.338,Solar,Gas,,,1990,Terra-Gen Operating Co-Solar,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,168.856,159.803,163.276,157.969,151.663,152.022,140.268,214.3,195.59,191.77,197.93,208.73,California,35.05,-117.34,17.4963470319635,1.16604566210046,0.084625319634703,0.629003424657534,0.947178082191781,2.60832191780822,42.021803652968,379.375,262.538584474886,54.2820776255708,1.48116438356164,0.084474885844749,49.0107305936073,336.678538812785,248.478310502283,0.299502168949772,41.5206952054795,89.7321130136986,0.915252283105023,0.276547945205479,932.299086757991,1.28835616438356,200.284246575342,2.96728310502283,10.2728633698518,0.257790980633137,0.04803593796404,0.009019258297398,5.98496896001182,10.8064895020333,49.031984290918,411.706414594092,339.279911808672,165.136294886479,2.66614347300368,6.18635160538442,66.9894312792637,397.880618836044,331.553115967333,0.031323135348829,25.4353955222413,38.5750753775903,0.022999013415256,0.016867770269363,4.68769389485211,0.723563947684613,93.6865390849234,1.72293431800048,0.859703196347032,0.140296803652968,0,0,0,0,0.003424657534247,0.260616438356164,0.328995433789954,0.256963470319635,0.137899543378995,0.012100456621005,31.1128150583867
Prescott Airport,USA0056228,3,34.6584,-112.4008,Solar,,,,2002,Arizona Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62813,2019,4.692,4.926,4.392,5.432,4.518,5.542,5.21,4.34,4.37,4.94,4.88,5.26,Arizona,34.65,-112.42,13.7845205479452,1.09512328767123,0.078984394977169,0.620522831050228,1.90018493150685,2.92904452054795,39.6279680365297,389.299200913242,266.282876712329,69.5027397260274,2.24052511415525,0.149041095890411,55.623401826484,309.393721461187,236.006278538813,0.292516780821918,46.6861461187215,89.7416643835616,0.920454337899543,0.211232876712329,846.579908675799,1.13956621004566,171.337785388128,1.9702397260274,10.1077834118425,0.254236044917533,0.043748546116473,0.011299197014495,8.79763532272942,9.18994720088726,46.175156087519,423.517853504199,343.010734591051,173.115570951131,3.08546847431476,6.9307299287552,86.9003080495835,393.886460162561,320.85935492909,0.028742800435092,24.120420157457,38.7723617161986,0.024151802392538,0.126974759712524,5.12842005193635,0.764317401584635,99.2078450399459,1.20625422594075,0.971232876712329,0.028767123287671,0,0,0,0,0.049315068493151,0.335502283105023,0.307762557077626,0.232534246575342,0.074885844748859,0,9.20312707865771
