name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,state,adj_latitude,adj_longitude,avg_air_temperature,avg_alpha,avg_aod,avg_asymmetry,avg_cld_opd_dcomp,avg_cld_reff_dcomp,avg_clearsky_dhi,avg_clearsky_dni,avg_clearsky_ghi,avg_cloud_press_acha,avg_cloud_type,avg_dew_point,avg_dhi,avg_dni,avg_ghi,avg_ozone,avg_relative_humidity,avg_solar_zenith_angle,avg_ssa,avg_surface_albedo,avg_surface_pressure,avg_total_precipitable_water,avg_wind_direction,avg_wind_speed,std_air_temperature,std_alpha,std_aod,std_asymmetry,std_cld_opd_dcomp,std_cld_reff_dcomp,std_clearsky_dhi,std_clearsky_dni,std_clearsky_ghi,std_cloud_press_acha,std_cloud_type,std_dew_point,std_dhi,std_dni,std_ghi,std_ozone,std_relative_humidity,std_solar_zenith_angle,std_ssa,std_surface_albedo,std_surface_pressure,std_total_precipitable_water,std_wind_direction,std_wind_speed,wind_u5,wind_5_10,wind_10_15,wind_15_20,wind_20_25,wind_o25,temp_u0,temp_0_10,temp_10_20,temp_20_30,temp_30_40,temp_o40,wind_power_density
Lamar Plant,USA0000508,8,38.0333,-102.5379,Wind,Oil,,,1989.875,City of Lamar - (CO),2019,0,0,0,0,0,0,9.95,U.S. Energy Information Administration,,,,,23.49,Colorado,38.05,-102.54,13.016095890411,1.2471700913242,0.096108230593607,0.61297602739726,1.95878538812785,4.13536529680365,42.1819634703196,369.507420091324,250.643835616438,89.3296803652968,2.62294520547945,2.05034246575342,58.0294520547945,279.078652968036,218.459360730594,0.30955399543379,54.1478287671233,89.7257796803653,0.932287671232877,0.257479452054794,877.434931506849,1.47785388127854,188.390068493151,3.45901826484018,11.6516442608618,0.259079761207075,0.063992019851164,0.009236337347532,7.99244326086477,12.076359254121,50.2329731599854,403.945118892854,325.717845227189,197.544653608505,3.01661283057675,8.65966611563722,86.6839786020179,369.069128421,302.61801191244,0.035163474167712,22.6330041062778,37.105679446995,0.025454218614245,0.18353067823052,6.66777597185402,0.941583945105949,94.6443656621644,1.87660030815338,0.79851598173516,0.198630136986301,0.002853881278539,0,0,0,0.127511415525114,0.293949771689498,0.255707762557078,0.224885844748858,0.096917808219178,0.001027397260274,43.7475510240851
Medicine Bow,USA0000692,6.2,41.8353,-106.2428,Wind,,,,2000,SRIV Partnership LLC,2019,17.893,10.317,14.703,8.182,18.217,17.439,15.534,U.S. Energy Information Administration,14.37,18.16,15.2,13.55,13.95,Wyoming,41.85,-106.26,5.80486301369863,1.24754794520548,0.091529942922375,0.619481735159817,4.3078002283105,5.06411643835616,40.2528538812785,380.551141552511,245.183561643836,109.341552511416,3.47762557077626,-3.13046803652968,61.1667808219178,238.506735159817,191.538926940639,0.305198401826484,60.4759942922374,89.6745833333334,0.92699200913242,0.357287671232877,787.799200913242,0.899109589041096,232.537557077626,3.82807077625571,11.2182399625764,0.30952447876121,0.077537948240512,0.007470238344,13.2967445414556,11.8169826323976,49.2523588761905,415.722964245397,321.209467501949,196.527103198652,3.17639004576208,7.34659426329822,95.4258284568117,349.282694772987,279.919585387983,0.033597223428483,22.021816620711,35.1936026816271,0.022437227098961,0.292780785705173,6.24141231388879,0.528974740097743,70.1788124205133,2.1874086385649,0.711872146118721,0.280936073059361,0.007191780821918,0,0,0,0.310159817351598,0.319406392694064,0.24189497716895,0.116666666666667,0.011872146118722,0,58.6062491354965
Searsburg Wind Turbine,USA0007381,6,42.8625,-72.9628,Wind,,,,1997,Green Mountain Power Corp,2019,12.196,10.936,12.22,12.586,11.177,12.29,12.151,U.S. Energy Information Administration,12.89,10.93,11.75,11.56,11.51,Vermont,42.85,-72.98,4.33517123287671,1.26873059360731,0.138397260273973,0.60441095890411,5.48749429223744,4.24648858447489,48.2710045662101,339.891552511415,232.091552511415,148.802283105023,3.40331050228311,2.96279680365297,64.6896118721461,184.484703196347,162.731164383562,0.32457397260274,81.5473093607306,89.6530605022831,0.937786529680365,0.377561643835616,926.679452054795,1.3986301369863,232.038242009132,0.235376712328767,10.6816677856507,0.214341373103394,0.121543117259779,0.015095436683632,14.3880354916224,8.67333678862734,61.7466123478347,381.574652769812,306.169726516991,250.472845426719,2.89882876670162,10.2013060174173,98.08688782564,310.500266536814,247.408346548824,0.0393700278672,16.5992604001274,34.6868820500273,0.02550177003997,0.3367342347166,8.33141919594,0.970605866995507,83.8410012576582,0.335377310323168,1,0,0,0,0,0,0.349543378995434,0.289155251141552,0.288013698630137,0.073287671232877,0,0,0.091970870541141
Princeton Wind Farm,USA0007501,3,42.4789,-71.9,Wind,,,,2010,Town of Princeton - (MA),2019,4.038,4.37,4.903,3.9,5.088,3.919,3.681,U.S. Energy Information Administration,10.12,10.64,10.26,7.65,7.5,Massachusetts,42.49,-71.9,7.30141552511416,1.23262328767123,0.1465399543379,0.604406392694064,4.34964726027397,4.42167808219178,49.4348173515982,332.417579908676,229.112100456621,148.404794520548,3.3134703196347,4.16730593607306,65.0189497716895,194.424200913242,169.340867579909,0.32512397260274,80.5166164383562,89.6603447488585,0.929842465753425,0.281342465753425,969.859474885845,1.68043378995434,219.188698630137,0.145730593607306,10.8425251614911,0.225406562375176,0.133665477998897,0.015813240947714,12.2889548823975,9.26958727790842,63.4663636335515,373.515604940234,302.302941195426,259.092007907399,3.00435776538887,9.87996668012939,97.8956233217997,310.336626345906,252.872962530904,0.042496515255677,19.2560439895336,34.8714876746563,0.028798192886964,0.281774427375316,9.39989321313381,1.10255858269057,97.8097754736975,0.226699649477373,1,0,0,0,0,0,0.256392694063927,0.314269406392694,0.280707762557078,0.142237442922374,0.006392694063927,0,0.028928755645288
Solano Wind,USA0007526,228.2,38.1164,-121.769,Wind,,,,2009.223488,Sacramento Municipal Util Dist,2019,617.658,562.35,570.308,562.352,532.777,564.781,522.352,U.S. Energy Information Administration,627.75,569.73,576.92,596.91,588.85,California,38.13,-121.78,14.5463470319635,1.02386529680365,0.104079303652968,0.644159817351598,1.88381506849315,2.59466210045662,44.5176940639269,350.89600456621,245.462557077626,89.0447488584475,2.17853881278539,7.42477168949772,54.5746575342466,277.400228310502,219.089497716895,0.302010730593607,72.2855479452055,89.7188059360731,0.923697488584475,0.190794520547945,1002.47146118721,1.56095890410959,230.126598173516,2.62594748858447,7.89015037608247,0.261964897316081,0.051943270862271,0.009215929824153,8.94090264729735,7.60896887721381,52.0436320913328,386.984542459719,321.547617094599,223.097953500222,2.87527575204885,3.9791182185491,76.2272850917742,361.788071620764,306.77706529212,0.031173877132111,26.1580849855397,37.06809015918,0.021569517919551,0.038014762418782,5.15726274802308,0.600171964056121,82.1839348994125,1.3945585763292,0.935958904109589,0.064041095890411,0,0,0,0,0.001027397260274,0.275228310502283,0.492237442922374,0.176940639269406,0.054109589041096,0.000456621004566,20.8695201715681
Springview,USA0007771,3,42.8258,-99.7775,Wind,,,,2011,Bluestem LLC,2019,,10.47222,9.445,10.692,12.35,9.306,7.568,U.S. Energy Information Administration,12.46,11.05,8.04,9.04,9.46,Nebraska,42.81,-99.78,9.62317351598174,1.22975799086758,0.125160171232877,0.612405251141553,3.21829908675799,4.51392237442922,46.2462328767123,341.75799086758,230.048401826484,130.680136986301,3.27385844748858,2.38710045662101,62.6994292237443,221.944520547945,183.437899543379,0.311127625570776,64.1796267123288,89.6892739726027,0.931634703196347,0.265205479452055,924.095890410959,1.51081050228311,214.7149543379,3.57755707762557,11.3470828617833,0.235153473381645,0.094006767786669,0.005813122441239,10.4775539843526,10.7108654261279,57.602840211405,379.509449491706,303.453760681714,238.530927066292,2.98695821178642,9.62296258665939,94.1349339977512,326.918216742371,266.298619205999,0.033740808514354,20.3648691621329,34.6991493677772,0.025321203800337,0.218395830088655,6.95746578455413,0.951069227984684,102.418903903647,1.97434538372361,0.769977168949772,0.225570776255708,0.004452054794521,0,0,0,0.204337899543379,0.307534246575342,0.259703196347032,0.187671232876712,0.040753424657534,0,53.1450627946018
Moorhead Wind Turbine,USA0007855,1.4,46.895,-96.7347,Wind,,,,2000,City of Moorhead - (MN),2019,1.651,1.644,2.48,1.412,1.86,1.528,1.655,U.S. Energy Information Administration,2.46,2.76,2.67,2.02,1.95,Minnesota,46.89,-96.74,5.98812785388128,1.28349885844749,0.143168744292237,0.612147260273973,4.57659589041096,4.50212899543379,46.7965753424658,323.251712328767,212.601484018265,141.241780821918,3.47899543378995,0.21837899543379,60.0147260273973,192.612442922374,158.986757990868,0.331853196347032,70.2711529680365,89.7083538812785,0.933787671232876,0.334931506849315,976.353881278539,1.51848173515982,204.615867579909,3.44221461187215,13.3097998592825,0.228009667940848,0.137661331497801,0.007426274118858,13.6142369188419,9.74209478961034,59.3796541047946,364.023564765841,285.027063479253,250.161279463764,2.97873236116157,12.0022602560361,90.402104713158,305.156924830675,241.442938904876,0.043306204025924,19.7214998953609,32.5926978050708,0.022221706315293,0.313113062374019,7.95351052583294,1.08238373241053,104.633725363191,1.97819936332641,0.797488584474886,0.19703196347032,0.005479452054795,0,0,0,0.32203196347032,0.243721461187215,0.253538812785388,0.163812785388128,0.01689497716895,0,54.4371162084375
Wind Turbine,USA0007886,11,44.6694,-87.6333,Wind,,,,1999,Madison Gas & Electric Co,2019,19.017,17.717,16.758,16.099,16.46,15.404,15.977,U.S. Energy Information Administration,28.36,27.34,25.09,17.75,21.82,Wisconsin,44.65,-87.62,6.93247716894977,1.23590867579909,0.154204760273973,0.600807077625571,4.66662328767123,4.22620547945205,49.4655251141552,322.773858447489,221.634817351598,144.10799086758,3.39954337899543,3.92969178082192,62.7841324200913,186.922945205479,164.294063926941,0.323506506849315,81.3620719178082,89.6943904109589,0.941501141552511,0.37358904109589,982.392465753425,1.58713470319635,194.730593607306,4.80624429223744,9.8892083509672,0.257761297787428,0.133202639081927,0.009539595214046,12.8805390147362,8.8987775664389,62.098328998857,365.740253136167,295.10634233352,250.747055924626,2.81113243105371,9.20900360481987,92.9573371447452,304.401097558762,250.05523236711,0.038831949182286,13.505693623874,33.7625418160354,0.020817647031319,0.319958038156994,8.24521933396957,1.09992839539932,105.616150544375,2.31524105565722,0.559474885844749,0.41027397260274,0.030251141552512,0,0,0,0.246004566210046,0.337557077625571,0.301255707762557,0.114383561643836,0.000799086757991,0,119.912840011497
Buffalo Mountain,USA0007927,1.8,36.121,-84.3387,Wind,,,,2000,Tennessee Valley Authority,2019,0,0,0,0,0,0,0,U.S. Energy Information Administration,2.37,1.88,2.04,1.73,1.27,Tennessee,36.13,-84.34,10.9010273972603,1.32272716894977,0.155241723744292,0.600220319634703,4.61723287671233,3.90597716894977,51.1114155251142,339.225570776256,248.73401826484,140.152511415525,3.03470319634703,8.31358447488585,72.7397260273973,189.493949771689,182.028082191781,0.299834132420091,77.4841929223744,89.6913607305936,0.94873401826484,0.14786301369863,928.311643835617,1.86875570776256,191.537100456621,0.308367579908676,9.76833944769834,0.198839598262496,0.11802588913813,0.009670807547423,13.130005156221,8.98348629605691,64.2416361473715,381.055767241439,322.64804967164,248.642926347121,2.90412732253854,8.86268654090373,111.84325431602,310.356246489553,269.298643251414,0.026050499768224,20.3585303699337,38.0530067244887,0.022843672281523,0.112417192058731,6.27498851468657,1.12421857372511,100.979494020307,0.193689442264745,1,0,0,0,0,0,0.140296803652968,0.300228310502283,0.34851598173516,0.19851598173516,0.012442922374429,0,0.042346759668087
Nine Canyon,USA0007936,95.9,46.0958,-119.0964,Wind,,,,2002,Energy Northwest,2019,224.897,244.273,211.208,245.759,212.782,237.801,196.564,U.S. Energy Information Administration,271.36,265.77,251.76,225.41,210.99,Washington,46.09,-119.1,10.7609589041096,1.21148173515982,0.089399269406393,0.625148401826484,3.30379109589041,4.48984931506849,39.1431506849315,350.852397260274,220.48595890411,119.534132420091,3.20673515981735,2.61707762557078,53.7883561643836,231.436872146119,181.516894977169,0.32442397260274,60.6018881278539,89.6734235159817,0.9264600456621,0.201506849315068,951.532762557078,1.33840182648402,214.503424657534,2.55929223744292,9.70662420300706,0.234784504099026,0.064502631919794,0.013254649729622,11.0864526166282,10.5490406973728,47.3277271211786,385.996609063946,295.524517497478,229.59345492139,3.02962169348893,5.09713149237836,80.8349406319951,337.442087554635,271.434202337469,0.03456182892906,23.592436658981,33.0212370422789,0.022057743895316,0.154794350830311,7.75254117379479,0.586939436792602,94.6109866826106,1.55719363294604,0.91472602739726,0.084246575342466,0.001027397260274,0,0,0,0.096232876712329,0.4087899543379,0.295547945205479,0.15662100456621,0.042808219178082,0,23.0083319038041
